tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
4930,Saccharomyces,"",2,-100,4930,4893,Eukaryota,0,8772.0,376.5,99.0,99.7,147.9,88.6,0.0,3666717.45,99.0,6807.0,292.2,99.0,99.1,45.3,17.8,0.0,99.0
4932,Saccharomyces cerevisiae,baker's yeast,1,4932,4930,4893,Eukaryota,0,4484.0,192.5,59.1,99.6,147.5,88.1,0.0,3666717.45,99.0,6040.0,259.2,99.0,99.0,45.0,17.7,0.0,99.0
-100004930,Non-species-specific reads in genus Saccharomyces,,1,-100004930,4930,4893,Eukaryota,0,4258.0,182.8,100.0,99.7,148.5,89.0,0.0,2130480.0,100.0,756.0,32.4,100.0,99.3,48.4,18.6,0.0,100.0
1911677,Saccharomyces cf. cerevisiae/paradoxus,"",1,1911677,4930,4893,Eukaryota,0,12.0,0.5,100.0,99.6,145.0,86.4,0.0,4950.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
4935,Saccharomyces sp.,"",1,4935,4930,4893,Eukaryota,0,6.0,0.3,100.0,99.7,150.0,89.9,0.0,2970.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
114524,Saccharomyces kudriavzevii,"",1,114524,4930,4893,Eukaryota,0,3.0,0.1,10.2,100.0,124.3,73.0,0.0,1344.42,31.4,10.0,0.4,31.4,95.0,31.8,16.5,0.0,31.4
367819,Saccharomyces sp. WW-W48,"",1,367819,4930,4893,Eukaryota,0,2.0,0.1,100.0,100.0,150.0,90.6,0.0,990.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
374374,Saccharomyces sp. ST-422,"",1,374374,4930,4893,Eukaryota,0,2.0,0.1,100.0,100.0,83.0,44.9,0.0,990.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
374799,Saccharomyces sp. W108,"",1,374799,4930,4893,Eukaryota,0,2.0,0.1,100.0,100.0,142.5,85.5,0.0,990.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
4931,Saccharomyces bayanus,"",1,4931,4930,4893,Eukaryota,0,2.0,0.1,46.5,100.0,131.0,77.6,0.0,460.35,46.5,0,0,-100,0.0,0.0,0.0,0.0,46.5
1080349,Saccharomyces eubayanus,"",1,1080349,4930,4893,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,0.0,4.1,1.0,0.0,4.1,91.7,48.0,15.5,0.0,4.1
27291,Saccharomyces paradoxus,"",1,27291,4930,4893,Eukaryota,0,1.0,0.0,0.9,100.0,148.0,89.2,0.0,0.0,0.9,0,0,-100,0.0,0.0,0.0,0.0,0.9
-200004893,Non-genus-specific reads in family Saccharomycetaceae,,2,-100,-200004893,4893,Eukaryota,0,3324.0,142.7,100.0,99.7,148.4,88.9,0.0,1634000.0,100.0,543.0,23.3,100.0,99.0,48.2,19.7,0.0,100.0
-100004893,Non-species-specific reads in family Saccharomycetaceae,,1,-100004893,-200004893,4893,Eukaryota,0,3263.0,140.1,100.0,99.7,148.5,89.0,0.0,1634000.0,100.0,543.0,23.3,100.0,99.0,48.2,19.7,0.0,100.0
341458,uncultured Saccharomyces,"",1,341458,-200004893,4893,Eukaryota,0,61.0,2.6,100.0,99.3,141.9,83.7,0.0,26000.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
-200000543,Non-genus-specific reads in family Enterobacteriaceae,,2,-100,-200000543,543,Bacteria,0,1604.0,68.8,100.0,99.7,148.9,89.2,0.0,1423000.0,100.0,1720.0,73.8,100.0,98.5,45.9,16.8,0.0,100.0
-100000543,Non-species-specific reads in family Enterobacteriaceae,,1,-100000543,-200000543,543,Bacteria,0,1599.0,68.6,100.0,99.7,148.9,89.2,0.0,1423000.0,100.0,1718.0,73.7,100.0,98.5,45.9,16.8,0.0,100.0
1214065,Enterobacteriaceae bacterium B14,"",1,1214065,-200000543,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,12.0,1.2,2.0,0.1,1.2,88.0,50.0,16.3,0.0,1.2
218034,uncultured Enterobacteriaceae bacterium,"",1,218034,-200000543,543,Bacteria,0,1.0,0.0,-0.1,100.0,150.0,90.6,0.0,0.0,-0.1,0,0,-100,0.0,0.0,0.0,0.0,-0.1
891974,Plautia stali symbiont,"",1,891974,-200000543,543,Bacteria,0,4.0,0.2,-0.1,98.0,149.3,85.9,0.0,-2.0,-0.1,0,0,-100,0.0,0.0,0.0,0.0,-0.1
3877,Medicago,medics,2,-100,3877,3803,Eukaryota,0,26.0,1.1,2.3,93.3,133.6,66.9,0.0,656670.312,99.0,1562.0,67.0,99.0,98.8,44.2,16.9,0.0,99.0
3880,Medicago truncatula,barrel medic,1,3880,3877,3803,Eukaryota,0,19.0,0.8,1.8,91.9,129.0,61.3,0.0,656670.312,99.0,1562.0,67.0,99.0,98.8,44.2,16.9,0.0,99.0
-100003877,Non-species-specific reads in genus Medicago,,1,-100003877,3877,3803,Eukaryota,0,2.0,0.1,100.0,100.0,150.0,90.6,0.0,23.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
3879,Medicago sativa,"",1,3879,3877,3803,Eukaryota,0,5.0,0.2,3.5,95.9,144.6,78.9,0.0,1.6099999999999999,3.5,0,0,-100,0.0,0.0,0.0,0.0,3.5
10861,Inovirus,"",2,-100,10861,10860,Viruses,1,1206.0,51.8,99.0,99.6,146.2,87.2,0.0,511830.0,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
-100010861,Non-species-specific reads in genus Inovirus,,1,-100010861,10861,10860,Viruses,1,1204.0,51.7,100.0,99.6,146.1,87.2,0.0,511830.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
1977402,Escherichia virus M13,"",1,1977402,10861,10860,Viruses,1,2.0,0.1,2.2,98.7,150.0,87.8,0.0,21.78,2.2,0,0,-100,0.0,0.0,0.0,0.0,2.2
67572,Psychromonas,"",2,-100,67572,267894,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,504751.5,99.0,1201.0,51.5,99.0,96.1,39.3,13.4,0.0,99.0
1527299,Psychromonas sp. PRT-SC03,"",1,1527299,67572,267894,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,504751.5,99.0,1201.0,51.5,99.0,96.1,39.3,13.4,0.0,99.0
-200031957,Non-genus-specific reads in family Propionibacteriaceae,,2,-100,-200031957,31957,Bacteria,0,453.0,19.4,100.0,99.7,148.6,89.1,0.0,266000.0,100.0,168.0,7.2,100.0,99.2,48.1,17.8,0.0,100.0
-100031957,Non-species-specific reads in family Propionibacteriaceae,,1,-100031957,-200031957,31957,Bacteria,0,453.0,19.4,100.0,99.7,148.6,89.1,0.0,266000.0,100.0,168.0,7.2,100.0,99.2,48.1,17.8,0.0,100.0
914,Nitrosomonas,"",2,-100,914,206379,Bacteria,0,999.0,42.9,99.0,98.6,147.4,86.1,0.0,213661.816,99.0,37.0,1.6,-0.2,94.2,44.9,15.7,0.0,99.0
261292,Nitrosomonas sp. Is79A3,"",1,261292,914,206379,Bacteria,0,508.0,21.8,99.0,98.2,147.3,85.1,0.0,213661.816,99.0,5.0,0.2,0.4,87.2,46.0,14.3,0.0,99.0
-100000914,Non-species-specific reads in genus Nitrosomonas,,1,-100000914,914,206379,Bacteria,0,391.0,16.8,100.0,99.6,149.4,89.4,0.0,166326.0,100.0,8.0,0.3,100.0,89.1,44.0,12.8,0.0,100.0
44577,Nitrosomonas ureae,"",1,44577,914,206379,Bacteria,0,64.0,2.7,65.5,97.3,141.9,79.8,0.0,17508.11,65.5,23.0,1.0,-0.2,98.8,44.8,17.4,0.0,65.5
42354,Nitrosomonas oligotropha,"",1,42354,914,206379,Bacteria,0,12.0,0.5,56.4,99.7,143.0,85.1,0.0,2791.7999999999997,56.4,0,0,-100,0.0,0.0,0.0,0.0,56.4
200125,Nitrosomonas sp. Nm86,"",1,200125,914,206379,Bacteria,0,4.0,0.2,100.0,100.0,150.0,90.6,0.0,1980.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
44574,Nitrosomonas communis,"",1,44574,914,206379,Bacteria,0,6.0,0.3,16.9,93.7,111.0,55.3,0.0,501.93,16.9,0,0,-100,0.0,0.0,0.0,0.0,16.9
153948,Nitrosomonas sp. AL212,"",1,153948,914,206379,Bacteria,0,14.0,0.6,2.0,95.2,142.4,75.6,0.0,118.8,2.0,0,0,-100,0.0,0.0,0.0,0.0,2.0
916,Nitrosomonas eutropha,"",1,916,914,206379,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,0.0,-0.3,1.0,0.0,-0.3,64.6,48.0,9.0,0.0,-0.3
59807,Acricotopus,"",2,-100,59807,7149,Eukaryota,0,321.0,13.8,99.0,95.0,134.0,70.8,0.0,135253.8,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
59808,Acricotopus lucens,"",1,59808,59807,7149,Eukaryota,0,321.0,13.8,99.0,95.0,134.0,70.8,0.0,135253.8,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
-200041297,Non-genus-specific reads in family Sphingomonadaceae,,2,-100,-200041297,41297,Bacteria,0,182.0,7.8,100.0,99.0,147.7,86.9,0.0,76000.0,100.0,13.0,0.6,100.0,97.0,49.2,18.3,0.0,100.0
-100041297,Non-species-specific reads in family Sphingomonadaceae,,1,-100041297,-200041297,41297,Bacteria,0,164.0,7.0,100.0,99.1,147.5,87.2,0.0,76000.0,100.0,13.0,0.6,100.0,97.0,49.2,18.3,0.0,100.0
