tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
-200000543,Non-genus-specific reads in family Enterobacteriaceae,,2,-100,-200000543,543,Bacteria,0,866.0,62.8,100.0,99.2,125.1,72.2,0.0,1212000.0,100.0,807.0,58.5,100.0,97.2,37.3,11.2,0.0,100.0
-100000543,Non-species-specific reads in family Enterobacteriaceae,,1,-100000543,-200000543,543,Bacteria,0,866.0,62.8,100.0,99.2,125.1,72.2,0.0,1212000.0,100.0,806.0,58.4,100.0,97.2,37.3,11.2,0.0,100.0
1593232,Enterobacteriaceae bacterium ATCC 29904,"",1,1593232,-200000543,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-1.0,-0.1,1.0,0.1,-0.1,100.0,27.0,6.2,0.0,-0.1
-200031957,Non-genus-specific reads in family Propionibacteriaceae,,2,-100,-200031957,31957,Bacteria,0,2.0,0.1,100.0,98.7,150.0,87.8,0.0,211000.0,100.0,291.0,21.1,100.0,97.9,44.5,15.5,0.0,100.0
-100031957,Non-species-specific reads in family Propionibacteriaceae,,1,-100031957,-200031957,31957,Bacteria,0,2.0,0.1,100.0,98.7,150.0,87.8,0.0,211000.0,100.0,290.0,21.0,100.0,98.0,44.5,15.5,0.0,100.0
1410634,Propionibacteriaceae bacterium P6A17,"",1,1410634,-200031957,31957,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1,-0.0,59.6,47.0,6.8,0.0,-0.0
-200041297,Non-genus-specific reads in family Sphingomonadaceae,,2,-100,-200041297,41297,Bacteria,0,8.0,0.6,100.0,98.8,117.8,66.0,0.0,82000.0,100.0,132.0,9.6,100.0,93.8,43.6,13.9,0.0,100.0
-100041297,Non-species-specific reads in family Sphingomonadaceae,,1,-100041297,-200041297,41297,Bacteria,0,8.0,0.6,100.0,98.8,117.8,66.0,0.0,82000.0,100.0,105.0,7.6,100.0,97.0,43.4,14.5,0.0,100.0
95606,Sphingomonas-like bacterium B12,"",1,95606,-200041297,41297,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,80.0,0.4,27.0,2.0,0.4,81.2,44.4,11.4,0.0,0.4
-200119060,Non-genus-specific reads in family Burkholderiaceae,,2,-100,-200119060,119060,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,57000.0,100.0,78.0,5.7,100.0,97.7,44.7,15.4,0.0,100.0
-100119060,Non-species-specific reads in family Burkholderiaceae,,1,-100119060,-200119060,119060,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,57000.0,100.0,78.0,5.7,100.0,97.7,44.7,15.4,0.0,100.0
-200000468,Non-genus-specific reads in family Moraxellaceae,,2,-100,-200000468,468,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,29000.0,100.0,40.0,2.9,100.0,98.0,42.9,14.5,0.0,100.0
-100000468,Non-species-specific reads in family Moraxellaceae,,1,-100000468,-200000468,468,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,29000.0,100.0,40.0,2.9,100.0,98.0,42.9,14.5,0.0,100.0
-200080864,Non-genus-specific reads in family Comamonadaceae,,2,-100,-200080864,80864,Bacteria,0,13.0,0.9,100.0,92.0,124.2,59.1,0.0,27000.0,100.0,34.0,2.5,100.0,91.1,41.4,12.0,0.0,100.0
-100080864,Non-species-specific reads in family Comamonadaceae,,1,-100080864,-200080864,80864,Bacteria,0,6.0,0.4,100.0,96.7,119.0,64.4,0.0,27000.0,100.0,32.0,2.3,100.0,90.6,41.3,11.9,0.0,100.0
1768804,Comamonadaceae bacterium CCH4-C5,"",1,1768804,-200080864,80864,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-2.0,-0.2,2.0,0.1,-0.2,98.9,43.5,14.6,0.0,-0.2
1458425,Comamonadaceae bacterium A1,"",1,1458425,-200080864,80864,Bacteria,0,3.0,0.2,-0.3,88.6,101.7,41.6,0.0,-6.0,-0.3,0,0,-100,0.0,0.0,0.0,0.0,-0.3
1458426,Comamonadaceae bacterium B1,"",1,1458426,-200080864,80864,Bacteria,0,4.0,0.3,-0.2,87.6,149.0,64.5,0.0,-6.0,-0.2,0,0,-100,0.0,0.0,0.0,0.0,-0.2
-200085023,Non-genus-specific reads in family Microbacteriaceae,,2,-100,-200085023,85023,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,26000.0,100.0,36.0,2.6,100.0,92.6,41.7,12.2,0.0,100.0
-100085023,Non-species-specific reads in family Microbacteriaceae,,1,-100085023,-200085023,85023,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,26000.0,100.0,36.0,2.6,100.0,92.6,41.7,12.2,0.0,100.0
-200186817,Non-genus-specific reads in family Bacillaceae,,2,-100,-200186817,186817,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,21000.0,100.0,29.0,2.1,100.0,98.1,43.9,15.3,0.0,100.0
-100186817,Non-species-specific reads in family Bacillaceae,,1,-100186817,-200186817,186817,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,21000.0,100.0,29.0,2.1,100.0,98.1,43.9,15.3,0.0,100.0
-200032033,Non-genus-specific reads in family Xanthomonadaceae,,2,-100,-200032033,32033,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,15000.0,100.0,30.0,2.2,100.0,91.0,41.2,12.3,0.0,100.0
-100032033,Non-species-specific reads in family Xanthomonadaceae,,1,-100032033,-200032033,32033,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,15000.0,100.0,21.0,1.5,100.0,95.7,41.3,13.5,0.0,100.0
1660170,Xanthomonadaceae bacterium SCN 69-123,"",1,1660170,-200032033,32033,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4,0.0,76.0,38.4,7.8,0.0,0.0
1660169,Xanthomonadaceae bacterium SCN 69-320,"",1,1660169,-200032033,32033,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-6.0,-0.2,4.0,0.3,-0.2,85.2,44.3,11.4,0.0,-0.2
-200075682,Non-genus-specific reads in family Oxalobacteraceae,,2,-100,-200075682,75682,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,12000.0,100.0,22.0,1.6,100.0,90.6,43.1,12.6,0.0,100.0
-100075682,Non-species-specific reads in family Oxalobacteraceae,,1,-100075682,-200075682,75682,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,12000.0,100.0,16.0,1.2,100.0,94.0,40.9,12.1,0.0,100.0
1158293,Oxalobacteraceae bacterium AB_14,"",1,1158293,-200075682,75682,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-3.0,-0.3,2.0,0.1,-0.3,91.8,49.0,16.3,0.0,-0.3
