sample_name,uploader,upload_date,runtime_seconds,overall_job_status,host_filtering_status,nonhost_alignment_status,postprocessing_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CHRF_RNA_0000_S97,,2018-03-25 17:51:13 -0700,3586.0,COMPLETE,LOADED,LOADED,LOADED,135087088,156310,0.116,41.349,4.68,,RNA,,Human,"- Notes: DeRisi_water
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. However a lot of yeast here with z score of 4.2."
CHRF_RNA_0001_S1,,2018-03-25 17:51:14 -0700,1798.0,COMPLETE,LOADED,LOADED,LOADED,102302082,216946,0.212,31.951,2.18,,RNA,,Human,"Parvovirus B19, Antigen for Strept. Pneumonia, 0 month old, 250 WBCs, high protein, May 2017, discharged after 15 days.
- Serotype: 8
- CT value from qPCR: 32.88
- mNGS result summary (RNA-Seq): Spn has the high reads and z score of 4.5 - so likely to be a pathogen of significance.
- Admission date: 15-May-17
- Birth date: 13-May-17
- Age (months): 0
- TLC (mm3): 250
- Polymorph %: 80
- Sugar (mg/dl): 32
- Protein (mg/dl): 300
- Volume  sent (ul): 500
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 15
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 1"
CHRF_RNA_0002_S2,,2018-03-25 17:51:14 -0700,2513.0,COMPLETE,LOADED,LOADED,LOADED,141979356,2837444,1.998,77.874,1.41,,RNA,,Human,"Streptococcus pneumoniae
- Serotype: 2
- CT value from qPCR: 19.16
- mNGS result summary (RNA-Seq): With z score of 99 and highest reads, Spn is definitely the most probable pathogen. 
- Admission date: 27-Feb-17
- Birth date: 24-Nov-16
- Age (months): 3
- TLC (mm3): 80
- Polymorph %: 60
- Sugar (mg/dl): 46
- Protein (mg/dl): 300
- Volume  sent (ul): 260
- Outcome: DORB
- Provisional Diagnosis 1: Meningitis
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 9"
CHRF_RNA_0003_S3,,2018-03-25 17:51:14 -0700,2985.0,COMPLETE,LOADED,LOADED,LOADED,56010100,88082,0.157,32.473,1.44,,RNA,,Human,"low TTV
- Serotype: 19A
- CT value from qPCR: 16.28
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn does have the highest reads here but  zscore of 1.
- Admission date: 15-Jan-15
- Birth date: 24-Jan-09
- Age (months): 71
- TLC (mm3): 9600
- Polymorph %: 90
- Sugar (mg/dl): 24
- Protein (mg/dl): 220
- Volume  sent (ul): 570
- Outcome: Discharged
- Provisional Diagnosis 1: ICSOL/ Intracranial space occupying lessions
- Hospital duration: 14
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 17"
CHRF_RNA_0004_S4,,2018-03-25 17:51:14 -0700,1362.0,COMPLETE,LOADED,LOADED,LOADED,60813922,237838,0.391,54.671,2.43,,RNA,,Human,"- Serotype: NTD
- CT value from qPCR: 35.51
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn has a z score of 1.1
- Admission date: 6-Sep-17
- Birth date: 6-Aug-12
- Age (months): 61
- TLC (mm3): 220
- Polymorph %: 10
- Sugar (mg/dl): 40
- Protein (mg/dl): 100
- Volume  sent (ul): 250
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 14
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 25"
CHRF_RNA_0005_S5,,2018-03-25 17:51:14 -0700,1302.0,COMPLETE,LOADED,LOADED,LOADED,49785764,100862,0.203,51.73,1.74,,RNA,,Human,"Enterobacter, 0 month old, CSF june 2016, 3500 WBC. Discharged after 23 days.
- mNGS result summary (RNA-Seq): With z score of 99 and highest reads, no doubt that this is Enterobacteria, probably enterobacter hormaechei/cloacae - need to learn more about these to understand the differences/similarities.
- Admission date: 23-May-16
- Birth date: 10-May-16
- Age (months): 0
- TLC (mm3): 3500
- Polymorph %: 90
- Sugar (mg/dl): 10
- Protein (mg/dl): 700
- Volume  sent (ul): 550
- Outcome: Discharged
- Provisional Diagnosis 1: Severe perinatal asphyxia/perinatal asphyxia
- Hospital duration: 23
- Drug 1: Inj. Ceftazidime/ Inj. Tazid
- Box : 1
- Position: 33"
CHRF_RNA_0006_S6,,2018-03-25 17:51:14 -0700,4188.0,COMPLETE,LOADED,LOADED,LOADED,80267448,145860,0.182,44.582,3.31,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 20-Sep-14
- Birth date: 2-Apr-14
- Age (months): 5
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 52
- Protein (mg/dl): 15
- Volume  sent (ul): 550
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 4
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 41"
CHRF_RNA_0007_S7,,2018-03-25 17:51:14 -0700,3023.0,COMPLETE,LOADED,LOADED,LOADED,52481998,126918,0.242,34.768,2.92,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 28-Jan-15
- Age (months): 8
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 70
- Protein (mg/dl): 20
- Volume  sent (ul): 760
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 4
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 49"
CHRF_RNA_0008_S8,,2018-03-25 17:51:14 -0700,3754.0,COMPLETE,LOADED,LOADED,LOADED,56664264,127858,0.226,49.289,3.03,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 10-Feb-18
- Birth date: 25-Oct-16
- Age (months): 15
- TLC (mm3): 2
- Polymorph %: 0
- Sugar (mg/dl): 62
- Protein (mg/dl): 15
- Volume  sent (ul): 1000
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 57"
CHRF_RNA_0009_S9,,2018-03-25 17:51:14 -0700,2965.0,COMPLETE,LOADED,LOADED,LOADED,42981288,122776,0.286,48.547,2.7,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. However a lot of yeast here with z score of 4.2.
- Admission date: 19-Feb-18
- Birth date: 26-Nov-16
- Age (months): 14
- TLC (mm3): 4
- Polymorph %: 0
- Sugar (mg/dl): 80
- Protein (mg/dl): 25
- Volume  sent (ul): 640
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 5
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 65"
