sample_name,uploader,upload_date,runtime_seconds,overall_job_status,host_filtering_status,nonhost_alignment_status,postprocessing_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CHRF_DNA_0002_C_S4,,2018-04-27 19:55:34 -0700,40299.0,COMPLETE,LOADED,LOADED,LOADED,90501824,2502016,2.765,64.262,1.05,,,,Human,
CHRF_DNA_0003_C_S12,,2018-04-27 19:55:34 -0700,26313.0,COMPLETE,LOADED,LOADED,LOADED,138193002,61712,0.045,90.271,1.07,,,,Human,
CHRF_DNA_0004_C_S20,,2018-04-27 19:55:34 -0700,28486.0,COMPLETE,LOADED,LOADED,LOADED,80269898,118636,0.148,62.072,1.09,,,,Human,
CHRF_DNA_0005_C_S28,,2018-04-27 19:55:34 -0700,55936.0,COMPLETE,LOADED,LOADED,LOADED,112500202,806552,0.717,86.136,1.06,,,,Human,
CHRF_DNA_0006_C_S36,,2018-04-27 19:55:35 -0700,92025.0,COMPLETE,LOADED,LOADED,LOADED,72757978,2196952,3.02,66.011,3.35,,,,Human,
CHRF_DNA_0007_C_S44,,2018-04-27 19:55:35 -0700,63710.0,COMPLETE,LOADED,LOADED,LOADED,30914118,1706036,5.519,69.916,5.59,,,,Human,
CHRF_DNA_0008_C_S52,,2018-04-27 19:55:35 -0700,65364.0,COMPLETE,LOADED,LOADED,LOADED,57725454,332386,0.576,51.237,1.16,,,,Human,
CHRF_DNA_0009_C_S60,,2018-04-27 19:55:35 -0700,66008.0,COMPLETE,LOADED,LOADED,LOADED,70904222,705780,0.995,49.882,1.31,,,,Human,
CHRF_DNA_0010_C_S68,,2018-04-27 19:55:35 -0700,71589.0,COMPLETE,LOADED,LOADED,LOADED,122911912,157506,0.128,79.885,1.07,,,,Human,
CHRF_DNA_0011_C_S76,,2018-04-27 19:55:36 -0700,70008.0,COMPLETE,LOADED,LOADED,LOADED,132834688,48864,0.037,74.104,1.06,,,,Human,
CHRF_DNA_0012_C_S84,,2018-04-27 19:55:36 -0700,68642.0,COMPLETE,LOADED,LOADED,LOADED,113787160,205232,0.18,65.973,1.07,,,,Human,
CHRF_DNA_0014_C_S5,,2018-04-27 19:55:34 -0700,14233.0,COMPLETE,LOADED,LOADED,LOADED,103863398,55668,0.054,88.599,1.07,,,,Human,
CHRF_DNA_0015_C_S13,,2018-04-27 19:55:34 -0700,29796.0,COMPLETE,LOADED,LOADED,LOADED,56186758,717768,1.277,44.406,2.03,,,,Human,
CHRF_DNA_0016_C_S21,,2018-04-27 19:55:34 -0700,43845.0,COMPLETE,LOADED,LOADED,LOADED,88259564,565492,0.641,38.021,1.14,,,,Human,
CHRF_DNA_0017_C_S29,,2018-04-27 19:55:34 -0700,59913.0,COMPLETE,LOADED,LOADED,LOADED,130455964,47846,0.037,54.241,1.06,,,,Human,
CHRF_DNA_0018_C_S37,,2018-04-27 19:55:35 -0700,52747.0,COMPLETE,LOADED,LOADED,LOADED,60684580,1227268,2.022,57.033,2.29,,,,Human,
CHRF_DNA_0019_C_S45,,2018-04-27 19:55:35 -0700,78152.0,COMPLETE,LOADED,LOADED,LOADED,62168300,1647756,2.65,62.194,4.4,,,,Human,
CHRF_DNA_0020_C_S53,,2018-04-27 19:55:35 -0700,84803.0,COMPLETE,LOADED,LOADED,LOADED,53654126,1565690,2.918,50.46,1.58,,,,Human,
CHRF_DNA_0021_C_S61,,2018-04-27 19:55:35 -0700,65043.0,COMPLETE,LOADED,LOADED,LOADED,55646002,872090,1.567,45.284,1.58,,,,Human,
CHRF_DNA_0022_C_S69,,2018-04-27 19:55:35 -0700,69042.0,COMPLETE,LOADED,LOADED,LOADED,120360228,49416,0.041,59.857,1.05,,,,Human,
CHRF_DNA_0023_C_S77,,2018-04-27 19:55:36 -0700,65890.0,COMPLETE,LOADED,LOADED,LOADED,100414064,377586,0.376,66.941,1.11,,,,Human,
CHRF_DNA_0025_C_S93,,2018-04-27 19:55:34 -0700,14709.0,COMPLETE,LOADED,LOADED,LOADED,128603354,67526,0.053,89.588,1.05,,,,Human,
CHRF_DNA_0026_C_S6,,2018-04-27 19:55:34 -0700,13281.0,COMPLETE,LOADED,LOADED,LOADED,93155792,191912,0.206,85.907,1.06,,,,Human,
CHRF_DNA_0027_C_S14,,2018-04-27 19:55:34 -0700,24750.0,COMPLETE,LOADED,LOADED,LOADED,134750930,332248,0.247,86.769,1.08,,,,Human,
CHRF_DNA_0028_C_S22,,2018-04-27 19:55:34 -0700,39772.0,COMPLETE,LOADED,LOADED,LOADED,96269530,98236,0.102,32.516,1.08,,,,Human,
CHRF_DNA_0029_C_S30,,2018-04-27 19:55:34 -0700,61067.0,COMPLETE,LOADED,LOADED,LOADED,122865390,1204414,0.98,50.707,1.05,,,,Human,Elizabethkingia confirmed
CHRF_DNA_0030_C_S38,,2018-04-27 19:55:35 -0700,8798.0,COMPLETE,LOADED,LOADED,LOADED,56339280,2041410,3.623,61.415,4.08,,,,Human,
CHRF_DNA_0031_C_S46,,2018-04-27 19:55:35 -0700,1351.0,COMPLETE,LOADED,LOADED,LOADED,49471338,1684062,3.404,63.356,2.68,,,,Human,
CHRF_DNA_0032_C_S54,,2018-04-27 19:55:35 -0700,66777.0,COMPLETE,LOADED,LOADED,LOADED,57289756,809364,1.413,39.018,2.84,,,,Human,
CHRF_DNA_0033_C_S62,,2018-04-27 19:55:35 -0700,70113.0,COMPLETE,LOADED,LOADED,LOADED,19472176,1596996,8.201,69.881,6.06,,,,Human,
CHRF_DNA_0034_C_S70,,2018-04-27 19:55:35 -0700,70599.0,COMPLETE,LOADED,LOADED,LOADED,109497944,68672,0.063,88.069,1.06,,,,Human,
CHRF_DNA_0035_C_S78,,2018-04-27 19:55:36 -0700,68537.0,COMPLETE,LOADED,LOADED,LOADED,121260676,34286,0.028,65.012,1.06,,,,Human,
CHRF_DNA_0037_C_S94,,2018-04-27 19:55:34 -0700,12278.0,COMPLETE,LOADED,LOADED,LOADED,139394206,86958,0.062,85.652,1.06,,,,Human,
CHRF_DNA_0038_C_S7,,2018-04-27 19:55:34 -0700,14982.0,COMPLETE,LOADED,LOADED,LOADED,92135798,34810,0.038,89.063,1.06,,,,Human,
CHRF_DNA_0039_C_S15,,2018-04-27 19:55:34 -0700,35670.0,COMPLETE,LOADED,LOADED,LOADED,119646082,38510,0.032,61.661,1.05,,,,Human,
CHRF_DNA_0040_C_S23,,2018-04-27 19:55:34 -0700,35792.0,COMPLETE,LOADED,LOADED,LOADED,84582454,1219120,1.441,53.356,1.24,,,,Human,
CHRF_DNA_0041_C_S31,,2018-04-27 19:55:34 -0700,59967.0,COMPLETE,LOADED,LOADED,LOADED,120570978,456196,0.378,89.53,1.06,,,,Human,"Aeromonas hydrophils, Klebsiella pneumoniae"
CHRF_DNA_0042_C_S39,,2018-04-27 19:55:35 -0700,62260.0,COMPLETE,LOADED,LOADED,LOADED,62770180,804510,1.282,46.922,1.99,,,,Human,
CHRF_DNA_0043_C_S47,,2018-04-27 19:55:35 -0700,61619.0,COMPLETE,LOADED,LOADED,LOADED,46309286,1067542,2.305,59.794,5.12,,,,Human,RNA hit was e.coli (culture positive).
CHRF_DNA_0044_C_S55,,2018-04-27 19:55:35 -0700,64553.0,COMPLETE,LOADED,LOADED,LOADED,43395802,923090,2.127,54.285,1.83,,,,Human,
CHRF_DNA_0045_C_S63,,2018-04-27 19:55:35 -0700,66982.0,COMPLETE,LOADED,LOADED,LOADED,28325270,1578394,5.572,46.063,5.54,,,,Human,
CHRF_DNA_0046_C_S71,,2018-04-27 19:55:35 -0700,67850.0,COMPLETE,LOADED,LOADED,LOADED,98092340,89984,0.092,76.969,1.07,,,,Human,
CHRF_DNA_0047_C_S79,,2018-04-27 19:55:36 -0700,71550.0,COMPLETE,LOADED,LOADED,LOADED,123590162,67038,0.054,84.637,1.06,,,,Human,
CHRF_DNA_0048_C_S87,,2018-04-27 19:55:36 -0700,67948.0,COMPLETE,LOADED,LOADED,LOADED,120430150,47684,0.04,87.045,1.06,,,,Human,
CHRF_DNA_0050_C_S8,,2018-04-27 19:55:34 -0700,19133.0,COMPLETE,LOADED,LOADED,LOADED,126690670,125628,0.099,46.119,1.07,,,,Human,
CHRF_DNA_0051_C_S16,,2018-04-27 19:55:34 -0700,38246.0,COMPLETE,LOADED,LOADED,LOADED,134869014,97440,0.072,44.962,1.05,,,,Human,
CHRF_DNA_0052_C_S24,,2018-04-27 19:55:34 -0700,94136.0,COMPLETE,LOADED,LOADED,LOADED,115158572,6465322,5.614,74.507,1.05,,DNA,Bangladesh,Human,E.coli confirmed hit
CHRF_DNA_0053_C_S32,,2018-04-27 19:55:34 -0700,43020.0,COMPLETE,LOADED,LOADED,LOADED,3968804,445082,11.215,63.308,2.51,,,,Human,
