	input
CHRF_RNA_0052_s52.report.csv	17.24573503
CHRF_RNA_0064_s64.report.csv	268.6734314
CHRF_RNA_0076_s76.report.csv	36.74857047
CHRF_RNA_0088_s88.report.csv	15.50769286
CHRF_RNA_0005_s5.report.csv	28.04265517
CHRF_RNA_0017_s17.report.csv	18.9155413
CHRF_RNA_0029_s29.report.csv	4.404261253
CHRF_RNA_0041_s41.report.csv	5.839911775
CHRF_RNA_0025_s25.report.csv	115.8165843
CHRF_RNA_0037_s37.report.csv	0
CHRF_RNA_0061_s61.report.csv	76.22606833
CHRF_RNA_0073_s73.report.csv	364.8766255
CHRF_RNA_0085_s85.report.csv	16.07753569
CHRF_RNA_0002_s2.report.csv	213.6199964
CHRF_RNA_0014_s14.report.csv	0
CHRF_RNA_0026_s26.report.csv	1670.180363
CHRF_RNA_0038_s38.report.csv	1035.345962
CHRF_RNA_0050_s50.report.csv	7.509764807
CHRF_RNA_0062_s62.report.csv	786.7254503
CHRF_RNA_0074_s74.report.csv	2018.295903
CHRF_RNA_0086_s86.report.csv	80.02611451
CHRF_RNA_0003_s3.report.csv	55.80800007
CHRF_RNA_0015_s15.report.csv	1.553933364
CHRF_RNA_0027_s27.report.csv	28.24160582
CHRF_RNA_0039_s39.report.csv	153.8715283
CHRF_RNA_0051_s51.report.csv	1113.238923
CHRF_RNA_0063_s63.report.csv	358.0208456
CHRF_RNA_0075_s75.report.csv	3580.774477
CHRF_RNA_0087_s87.report.csv	216.8716372
CHRF_RNA_0004_s4.report.csv	8.756414193
CHRF_RNA_0016_s16.report.csv	1.784118147
CHRF_RNA_0028_s28.report.csv	1.686647437
CHRF_RNA_0040_s40.report.csv	3.608156049
CHRF_RNA_0053_s53.report.csv	1.044760531
CHRF_RNA_0065_s65.report.csv	2.029912809
CHRF_RNA_0077_s77.report.csv	3.49187021
CHRF_RNA_0089_s89.report.csv	0
CHRF_RNA_0006_s6.report.csv	1.00916905
CHRF_RNA_0018_s18.report.csv	1.782595071
CHRF_RNA_0030_s30.report.csv	1.740457295
CHRF_RNA_0042_s42.report.csv	1.144510956
CHRF_RNA_0054_s54.report.csv	1.379688796
CHRF_RNA_0066_s66.report.csv	1.471258837
CHRF_RNA_0078_s78.report.csv	1.981395776
CHRF_RNA_0090_s90.report.csv	2.015461283
CHRF_RNA_0007_s7.report.csv	1.367769964
CHRF_RNA_0019_s19.report.csv	1.556290297
CHRF_RNA_0031_s31.report.csv	1.136388517
CHRF_RNA_0043_s43.report.csv	2.070244413
CHRF_RNA_0067_s67.report.csv	3.111427778
CHRF_RNA_0079_s79.report.csv	3.885974078
CHRF_RNA_0091_s91.report.csv	2.431847222
CHRF_RNA_0008_s8.report.csv	4.619538116
CHRF_RNA_0020_s20.report.csv	3.92891723
CHRF_RNA_0032_s32.report.csv	1.25214077
CHRF_RNA_0044_s44.report.csv	1.521570942
CHRF_RNA_0056_s56.report.csv	3.285085458
CHRF_RNA_0068_s68.report.csv	2.208347678
CHRF_RNA_0080_s80.report.csv	5.235575269
CHRF_RNA_0092_s92.report.csv	2.682615327
CHRF_RNA_0009_s9.report.csv	2.296058069
CHRF_RNA_0021_s21.report.csv	1.967974599
CHRF_RNA_0033_s33.report.csv	2.828790382
CHRF_RNA_0045_s45.report.csv	0.923518145
CHRF_RNA_0057_s57.report.csv	1.662425905
CHRF_RNA_0069_s69.report.csv	1.981312503
CHRF_RNA_0096_s96.report.csv	1.445256579
CHRF_RNA_0081_s81.report.csv	25.81504876
CHRF_RNA_0093_s93.report.csv	3.701173036
CHRF_RNA_0010_s10.report.csv	43.96947314
CHRF_RNA_0022_s22.report.csv	16.78817394
CHRF_RNA_0034_s34.report.csv	88.00970233
CHRF_RNA_0046_s46.report.csv	16.39593084
CHRF_RNA_0058_s58.report.csv	498.9723916
CHRF_RNA_0070_s70.report.csv	272.7813704
CHRF_RNA_0082_s82.report.csv	51.04196346
CHRF_RNA_0094_s94.report.csv	29.58035377
CHRF_RNA_0011_s11.report.csv	172.1741615
CHRF_RNA_0023_s23.report.csv	10.39089462
CHRF_RNA_0035_s35.report.csv	1440.794498
CHRF_RNA_0047_s47.report.csv	201.7687717
CHRF_RNA_0059_s59.report.csv	31.10032269
CHRF_RNA_0071_s71.report.csv	37.43798448
CHRF_RNA_0083_s83.report.csv	0
CHRF_RNA_0095_s95.report.csv	53.33159379
CHRF_RNA_0012_s12.report.csv	38.2587871
CHRF_RNA_0048_s48.report.csv	8.210394443
CHRF_RNA_0060_s60.report.csv	3.803134762
CHRF_RNA_0072_s72.report.csv	92.10648217
CHRF_RNA_0084_s84.report.csv	5.390477028
