tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
361177,Altererythrobacter,"",2,-100,361177,335929,Bacteria,0,53305.0,5850.3,99.0,88.2,133.3,57.5,0.0,121021767.9,99.0,96626.0,10604.8,99.0,87.1,46.0,13.7,0.0,99.0
543877,Altererythrobacter marensis,"",1,543877,361177,335929,Bacteria,0,39451.0,4329.8,99.0,88.3,133.8,58.0,0.0,121021767.9,99.0,73057.0,8018.1,99.0,87.0,46.0,13.7,0.0,99.0
692370,Altererythrobacter dongtanensis,"",1,692370,361177,335929,Bacteria,0,7681.0,843.0,30.5,88.3,133.3,57.8,0.0,3164318.19,30.5,3370.0,369.9,16.9,86.4,46.1,13.6,0.0,30.5
361183,Altererythrobacter epoxidivorans,"",1,361183,361177,335929,Bacteria,0,2653.0,291.2,27.2,87.1,131.1,54.3,0.0,2911328.64,74.4,2631.0,288.8,74.4,87.9,45.5,13.8,0.0,74.4
1316679,Altererythrobacter xiamenensis,"",1,1316679,361177,335929,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,2434924.8,84.0,2668.0,292.8,84.0,87.3,46.2,14.0,0.0,84.0
-100361177,Non-species-specific reads in genus Altererythrobacter,,1,-100361177,361177,335929,Bacteria,0,149.0,16.4,99.0,94.0,139.8,72.5,0.0,2209360.2299999995,99.0,3046.0,334.3,61.9,91.7,45.3,14.4,0.0,99.0
1267766,Altererythrobacter atlanticus,"",1,1267766,361177,335929,Bacteria,0,1370.0,150.4,46.6,86.6,128.5,52.1,0.0,1804166.1,56.7,1802.0,197.8,56.7,87.2,45.9,13.6,0.0,56.7
645517,Altererythrobacter namhicola,"",1,645517,361177,335929,Bacteria,0,1724.0,189.2,34.4,86.9,130.4,53.6,0.0,1510625.1600000001,56.6,1409.0,154.6,56.6,86.1,45.6,13.3,0.0,56.6
476157,Altererythrobacter ishigakiensis,"",1,476157,361177,335929,Bacteria,0,277.0,30.4,25.7,86.5,123.3,49.3,0.0,1153484.64,80.4,1232.0,135.2,80.4,87.5,45.9,13.8,0.0,80.4
1172626,Altererythrobacter sp. MH-B5,"",1,1172626,361177,335929,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,1108493.1,95.7,1066.0,117.0,95.7,87.0,46.2,13.9,0.0,95.7
1895714,Altererythrobacter sp. 66-12,"",1,1895714,361177,335929,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,923551.2,52.0,1635.0,179.4,52.0,86.3,45.6,13.4,0.0,52.0
1736584,Altererythrobacter sp. Root672,"",1,1736584,361177,335929,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,431600.4,25.2,1576.0,173.0,25.2,85.1,45.9,13.2,0.0,25.2
292222,Altererythrobacter troitsensis,"",1,292222,361177,335929,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,323532.0,9.5,3134.0,344.0,9.5,85.6,46.0,13.6,0.0,9.5
150203,Blastomonas,"",2,-100,150203,41297,Bacteria,0,792.0,86.9,14.4,86.9,127.2,51.9,0.0,7916267.7,99.0,9699.0,1064.5,99.0,95.4,45.6,15.4,0.0,99.0
1768738,Blastomonas sp. CCH9-A1,"",1,1768738,150203,41297,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,7916267.7,99.0,7359.0,807.7,99.0,97.3,45.5,15.8,0.0,99.0
-100150203,Non-species-specific reads in genus Blastomonas,,1,-100150203,150203,41297,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,730521.9899999999,48.9,1375.0,150.9,48.9,93.9,45.2,15.1,0.0,48.9
1768743,Blastomonas sp. CCH8-A3,"",1,1768743,150203,41297,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,73507.5,99.0,68.0,7.5,99.0,73.7,48.2,11.3,0.0,99.0
1419876,Blastomonas sp. CACIA14H2,"",1,1419876,150203,41297,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,73204.56,23.4,288.0,31.6,23.4,83.0,46.4,13.4,0.0,23.4
1842535,Blastomonas sp. RAC04,"",1,1842535,150203,41297,Bacteria,0,792.0,86.9,14.4,86.9,127.2,51.9,0.0,71925.084,33.0,150.0,16.5,33.0,85.6,45.9,12.9,0.0,33.0
