tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
-200005129,Non-genus-specific reads in family Hypocreaceae,,2,-100,-200005129,5129,Eukaryota,0,4.0,0.9,62.5,100.0,150.0,90.6,0.0,3515.625,62.5,0,0,-100,0.0,0.0,0.0,0.0,62.5
-100005129,Non-species-specific reads in family Hypocreaceae,,1,-100005129,-200005129,5129,Eukaryota,0,4.0,0.9,62.5,100.0,150.0,90.6,0.0,3515.625,62.5,0,0,-100,0.0,0.0,0.0,0.0,62.5
1982594,Luz7virus,"",2,-100,1982594,10744,Viruses,1,2.0,0.4,71.8,83.5,127.0,46.0,0.0,2872.0,71.8,0,0,-100,0.0,0.0,0.0,0.0,71.8
1982596,Pseudomonas virus LUZ7,"",1,1982596,1982594,10744,Viruses,1,2.0,0.4,100.0,83.5,127.0,46.0,0.0,2872.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
5094,Talaromyces,"",2,-100,5094,28568,Eukaryota,0,51.0,11.3,1.0,86.6,133.0,54.6,0.0,2871.99,4.5,488.0,107.8,4.5,89.1,44.4,13.6,0.0,4.5
28573,Talaromyces islandicus,"",1,28573,5094,28568,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,2871.99,6.6,438.0,96.7,6.6,89.4,44.6,13.8,0.0,6.6
28564,Talaromyces stipitatus,"",1,28564,5094,28568,Eukaryota,0,15.0,3.3,3.5,87.2,135.4,56.8,0.0,37.065000000000005,3.5,12.0,2.7,2.1,87.9,45.9,13.1,0.0,3.5
1472165,Talaromyces cellulolyticus,"",1,1472165,5094,28568,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,17.819999999999997,1.2,15.0,3.3,1.2,77.4,46.5,12.0,0.0,1.2
1441469,Talaromyces atroroseus,"",1,1441469,5094,28568,Eukaryota,0,13.0,2.9,3.5,86.4,136.8,55.7,0.0,9.61,3.5,1.0,0.2,-0.6,82.4,34.0,7.6,0.0,3.5
198730,Talaromyces verruculosus,"",1,198730,5094,28568,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,4.05,0.6,7.0,1.5,0.6,83.2,39.9,10.0,0.0,0.6
37727,Talaromyces marneffei,"",1,37727,5094,28568,Eukaryota,0,10.0,2.2,1.0,85.4,127.2,49.8,0.0,3.955,1.0,6.0,1.3,0.3,88.0,47.8,14.7,0.0,1.0
-100005094,Non-species-specific reads in genus Talaromyces,,1,-100005094,5094,28568,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,0.9,0.1,9.0,2.0,0.1,99.0,31.1,7.7,0.0,0.1
128442,Talaromyces pinophilus,"",1,128442,5094,28568,Eukaryota,0,13.0,2.9,0.2,87.2,131.0,54.6,0.0,0.58,0.2,0,0,-100,0.0,0.0,0.0,0.0,0.2
