
RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1
Bacteria	-200	uncultured bacterium	108.3	1.7
Bacteria	1912216	Cutibacterium acnes	10.9	12.0
Bacteria	561	Escherichia coli	6.7	11.0
Bacteria	222	Achromobacter xylosoxidans	1.0	0.1
Bacteria	40323	Stenotrophomonas maltophilia	1.0	0.5
Bacteria	1847725	Lawsonella clevelandensis	1.0	0.1
Bacteria	590	Salmonella enterica	0.7	3.7
Bacteria	29404	Microlunatus phosphovorus	0.6	0.1
Bacteria	469	Acinetobacter johnsonii	0.6	0.1
Bacteria	1357	Lactococcus lactis	0.5	0.1
Bacteria	57493	Kocuria palustris	0.5	0.1
Bacteria	475	Moraxella osloensis	0.4	0.1
Bacteria	1269	Micrococcus luteus	0.4	0.1
Bacteria	1578	Lactobacillus gasseri	0.4	0.2
Bacteria	570	Klebsiella pneumoniae	0.3	1.1
Bacteria	80865	Delftia acidovorans	0.3	0.2
Bacteria	286	Pseudomonas putida	0.2	0.1
Bacteria	1386	Bacillus subtilis	0.2	0.1
Bacteria	1386	Bacillus cereus	0.2	0.2

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus pneumoniae	17731.5	10042.2
Bacteria	-200	uncultured bacterium	14.3	0.1
Bacteria	40323	Stenotrophomonas maltophilia	1.0	0.5
Bacteria	570	Klebsiella pneumoniae	0.6	0.8
Bacteria	222	Achromobacter xylosoxidans	0.5	0.1
Bacteria	265976	Serinicoccus sp. JLT9	0.3	0.0
Bacteria	1269	Micrococcus luteus	0.3	0.1
Bacteria	1912216	Cutibacterium acnes	0.3	0.2
Bacteria	1839	Nocardioides dokdonensis	0.3	0.1
Bacteria	35798	Nitrosospira multiformis	0.2	0.1
Bacteria	2044	Pimelobacter simplex	0.2	0.0
Bacteria	561	Escherichia coli	0.2	0.7
Bacteria	1350	Enterococcus faecium	0.2	2.0
Bacteria	233191	Caldilinea aerophila	0.2	0.2
Bacteria	57493	Kocuria turfanensis	0.2	0.0
Bacteria	1357	Lactococcus lactis	0.2	0.8
Bacteria	1763	Mycobacterium aurum	0.2	0.0
Bacteria	2040	Aeromicrobium erythreum	0.1	0.0
Bacteria	171436	Tistrella mobilis	0.1	0.1
Bacteria	165779	Anaerococcus mediterraneensis	0.1	0.0

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus pneumoniae	17731.5	10042.2	39.9	16162.5	9375.1	36.4
Bacteria	-200	uncultured bacterium	14.3	0.1	-0.5	108.3	1.7	-0.2
Bacteria	1912216	Cutibacterium acnes	0.3	0.2	-0.2	10.9	12.0	-0.2
Bacteria	561	Escherichia coli	0.2	0.7	-0.1	6.7	11.0	-0.1
Bacteria	40323	Stenotrophomonas maltophilia	1.0	0.5	-0.3	1.0	0.5	-0.3
Bacteria	222	Achromobacter xylosoxidans	0.5	0.1	-0.3	1.0	0.1	-0.3
Bacteria	1357	Lactococcus lactis	0.2	0.8	-0.3	0.5	0.1	-0.2
Bacteria	1269	Micrococcus luteus	0.3	0.1	-0.2	0.4	0.1	-0.2
Bacteria	570	Klebsiella pneumoniae	0.6	0.8	-0.3	0.3	1.1	-0.3
Bacteria	48736	Ralstonia pickettii	0.1	0.1	-0.3	0.2	0.1	-0.3
Bacteria	286	Pseudomonas putida	0.1	0.1	-0.4	0.2	0.1	-0.3
Bacteria	283	Comamonas testosteroni	0.1	0.1	-0.4	0.1	0.1	-0.2
Bacteria	233191	Caldilinea aerophila	0.2	0.2	0.0	0.1	0.2	-0.0
Bacteria	1350	Enterococcus faecalis	0.2	2.0	-0.2	0.1	7.7	-0.2
Viruses	110456	Escherichia virus T7	0.0	0.0	0.8	0.0	0.0	0.0
Viruses	153135	Murine leukemia virus	0.0	0.0	100.0	0.0	0.0	0.0
Viruses	-200010699	Streptococcus virus 9874	0.0	0.0	-100.0	0.0	0.0	0.0
Viruses	1623281	Mycobacterium virus Che8	0.0	0.0	-100.0	0.0	0.0	0.0



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Viruses	-200687329	Torque teno virus	41.1	28.5
Bacteria	1912216	Cutibacterium acnes	26.1	18.2
Bacteria	561	Escherichia coli	25.9	36.1
Bacteria	-200	uncultured bacterium	16.9	4.8
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0
Bacteria	1279	Staphylococcus warneri	8.2	1.4
Bacteria	590	Salmonella enterica	4.0	15.5
Viruses	687331	Torque teno virus 16	3.9	1.7
Bacteria	222	Achromobacter xylosoxidans	3.3	0.2
Bacteria	40323	Stenotrophomonas maltophilia	3.1	1.0
Bacteria	265976	Serinicoccus sp. JLT9	2.9	0.2
Bacteria	1269	Micrococcus luteus	2.7	1.4
Bacteria	469	Acinetobacter johnsonii	2.6	0.4
Bacteria	1839	Nocardioides sp. JS614	2.0	0.1
Bacteria	57493	Kocuria turfanensis	2.0	0.2
Bacteria	475	Moraxella osloensis	1.9	0.5
Bacteria	80865	Delftia acidovorans	1.8	0.5
Bacteria	547	Enterobacter cloacae	1.7	0.4
Bacteria	1860	Geodermatophilus obscurus	1.6	0.3
Bacteria	38501	Blastococcus saxobsidens	1.5	0.5

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus pneumoniae	8.6	5.7
Bacteria	40323	Stenotrophomonas maltophilia	1.1	0.6
Bacteria	1912216	Cutibacterium acnes	1.0	0.4
Bacteria	1269	Micrococcus luteus	0.5	0.3
Bacteria	57493	Kocuria palustris	0.3	0.2
Bacteria	286	Pseudomonas stutzeri	0.2	0.1
Bacteria	561	Escherichia coli	0.2	0.3
Bacteria	53457	Janibacter indicus	0.2	0.1
Viruses	-200687329	Torque teno virus	0.2	0.1
Bacteria	233191	Caldilinea aerophila	0.2	0.4
Bacteria	48736	Ralstonia pickettii	0.2	0.2
Bacteria	1763	Mycobacterium gilvum	0.2	0.0
Bacteria	1763	Mycobacterium smegmatis	0.2	0.0
Bacteria	1763	Mycobacterium sp. YC-RL4	0.2	0.0
Bacteria	1763	Mycobacterium phlei	0.2	0.0
Bacteria	475	Moraxella osloensis	0.2	0.1
Bacteria	267408	Arsenicicoccus sp. oral taxon 190	0.1	0.0
Viruses	687331	Torque teno virus 16	0.1	0.0
Bacteria	-200	uncultured bacterium	0.1	0.1
Bacteria	294702	Proteiniphilum saccharofermentans	0.1	0.0

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Viruses	-200687329	Torque teno virus	0.2	0.1	0.2	41.1	28.5	87.6
Bacteria	1912216	Cutibacterium acnes	1.0	0.4	-0.2	26.1	18.2	-0.1
Bacteria	561	Escherichia coli	0.2	0.3	-0.1	25.9	36.1	-0.1
Bacteria	-200	uncultured bacterium	0.1	0.1	-0.5	16.9	4.8	-0.4
Bacteria	1301	Streptococcus pneumoniae	8.6	5.7	-0.2	10.5	8.0	-0.2
Bacteria	590	Salmonella enterica	0.1	0.1	-0.2	4.0	15.5	0.7
Viruses	687331	Torque teno virus 16	0.1	0.0	-0.0	3.9	1.7	6.1
Bacteria	40323	Stenotrophomonas maltophilia	1.1	0.6	-0.3	3.1	1.0	-0.3
Bacteria	1269	Micrococcus luteus	0.5	0.3	-0.2	2.7	1.4	-0.2
Bacteria	57493	Kocuria turfanensis	0.3	0.2	-0.2	2.0	0.2	-0.2
Bacteria	475	Moraxella osloensis	0.2	0.1	-0.2	1.9	0.5	-0.2
Bacteria	265	Paracoccus contaminans	0.1	0.1	-0.4	1.5	0.1	0.0
Bacteria	286	Pseudomonas stutzeri	0.2	0.1	-0.4	1.3	0.8	-0.4
Bacteria	53457	Janibacter indicus	0.2	0.1	100.0	0.8	0.2	100.0
Bacteria	48736	Ralstonia pickettii	0.2	0.2	-0.3	0.6	0.4	-0.3
Bacteria	233191	Caldilinea aerophila	0.2	0.4	0.0	0.4	0.6	0.2
Viruses	687332	TTV-like mini virus	0.0	0.0	100.0	0.4	0.8	0.6
Viruses	-200010699	Gordonia phage Yvonnetastic	0.0	0.0	-100.0	0.0	0.0	0.0
Viruses	1982251	Propionibacterium virus PHL132N00	0.0	0.0	0.5	0.0	0.0	0.0
