
----
./data/060618/rapid-response-007_reports/chrf_rna_0002_s2.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	1301	17731.5	39.9	19381.0	12.9	Streptococcus pneumoniae	10042.2	16162.5	36.4	19144.3	12.7	Streptococcus pneumoniae	9375.1	Streptococcus pneumoniae	0.9997627104655002	0.9985551846442731
1	2	7	Bacteria	1912216	0.3	-0.2	0.3	-0.2	Cutibacterium acnes	0.2	10.9	-0.2	11.3	-0.2	Cutibacterium acnes	12.0	Cutibacterium acnes	1.547540442390228e-05	0.0005894012100980599
2	3	11	Bacteria	561	0.2	-0.1	0.2	-0.1	Escherichia coli	0.7	6.7	-0.1	7.8	-0.1	Escherichia coli	11.0	Escherichia coli	1.031693628260152e-05	0.0004068433131650324
3	10	21	Bacteria	286	0.1	-0.4	0.4	-0.3	Pseudomonas stutzeri	0.1	0.2	-0.3	2.9	-0.3	Pseudomonas putida	0.1	Pseudomonas putida	2.063387256520304e-05	0.0001512622574587941
4	4	2	Bacteria	40323	1.0	-0.3	1.3	-0.4	Stenotrophomonas maltophilia	0.5	1.0	-0.3	1.2	-0.4	Stenotrophomonas maltophilia	0.5	Stenotrophomonas maltophilia	6.706008583690988e-05	6.259127894846652e-05
5	5	4	Bacteria	222	0.5	-0.3	0.6	-0.3	Achromobacter xylosoxidans	0.1	1.0	-0.3	1.1	-0.3	Achromobacter xylosoxidans	0.1	Achromobacter xylosoxidans	3.095080884780456e-05	5.737533903609432e-05
6	6	16	Bacteria	1357	0.2	-0.3	0.2	-0.3	Lactococcus lactis	0.8	0.5	-0.2	0.9	-0.3	Lactococcus lactis	0.1	Lactococcus lactis	1.031693628260152e-05	4.6943459211349896e-05
7	7	6	Bacteria	1269	0.3	-0.2	0.3	-0.2	Micrococcus luteus	0.1	0.4	-0.2	0.7	-0.2	Micrococcus luteus	0.1	Micrococcus luteus	1.547540442390228e-05	3.651157938660547e-05
8	8	3	Bacteria	570	0.6	-0.3	0.7	-0.3	Klebsiella pneumoniae	0.8	0.3	-0.3	0.6	-0.3	Klebsiella pneumoniae	1.1	Klebsiella pneumoniae	3.6109276989105314e-05	3.129563947423326e-05
9	13	12	Bacteria	1350	0.2	-0.2	0.2	-0.3	Enterococcus faecium	2.0	0.1	-0.2	0.6	-0.2	Enterococcus faecalis	7.7	Enterococcus faecalis	1.031693628260152e-05	3.129563947423326e-05
10	9	50	Bacteria	48736	0.1	-0.3	0.1	-0.3	Ralstonia pickettii	0.1	0.2	-0.3	0.3	-0.3	Ralstonia pickettii	0.1	Ralstonia pickettii	5.15846814130076e-06	1.564781973711663e-05
11	11	55	Bacteria	283	0.1	-0.4	0.1	-0.2	Comamonas aquatica	0.1	0.1	-0.2	0.2	-0.2	Comamonas testosteroni	0.1	Comamonas testosteroni	5.15846814130076e-06	1.0431879824744422e-05
12	12	14	Bacteria	233191	0.2	0.0	0.2	0.0	Caldilinea aerophila	0.2	0.1	-0.0	0.1	-0.0	Caldilinea aerophila	0.2	Caldilinea aerophila	1.031693628260152e-05	5.215939912372211e-06
13	1	1	Bacteria	-200	14.3	-0.5	0.0	0.0	uncultured bacterium	0.1	108.3	-0.2	0.0	0.0	uncultured bacterium	1.7	uncultured bacterium	0.0	0.0
14	14	249	Viruses	110456	0.0	0.8	0.0	0.7	Escherichia virus T7	0.0	0.0	0.0	0.0	0.0	0	0.0	Escherichia virus T7	0.0	0.0
15	15	261	Viruses	153135	0.0	100.0	0.0	100.0	Murine leukemia virus	0.0	0.0	0.0	0.0	0.0	0	0.0	Murine leukemia virus	0.0	0.0
16	16	473	Viruses	-200010699	0.0	-100.0	0.0	0.0	Streptococcus virus 9874	0.0	0.0	0.0	0.0	0.0	0	0.0	Streptococcus virus 9874	0.0	0.0
17	17	943	Viruses	1623281	0.0	-100.0	0.0	100.0	Mycobacterium virus Che8	0.0	0.0	0.0	0.0	0.0	0	0.0	Mycobacterium virus Che8	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0003_s3.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	2	6	Bacteria	561	0.2	-0.1	0.2	-0.1	Escherichia coli	0.3	25.9	-0.1	28.9	-0.1	Escherichia coli	36.1	Escherichia coli	0.01333333333333334	0.24512298558100082
1	1	2	Bacteria	1912216	1.0	-0.2	1.0	-0.2	Cutibacterium acnes	0.4	26.1	-0.1	27.2	-0.1	Cutibacterium acnes	18.2	Cutibacterium acnes	0.0666666666666667	0.23070398642917725
2	4	0	Bacteria	1301	8.6	-0.2	9.6	-0.2	Streptococcus pneumoniae	5.7	10.5	-0.2	17.4	-0.2	Streptococcus pneumoniae	8.0	Streptococcus pneumoniae	0.6400000000000002	0.1475826972010178
3	6	17	Viruses	687331	0.1	-0.0	0.1	-0.0	Torque teno virus 16	0.0	3.9	6.1	8.3	12.6	Torque teno virus 16	1.7	Torque teno virus 16	0.00666666666666667	0.07039864291772689
4	12	5	Bacteria	286	0.2	-0.4	0.7	-0.3	Pseudomonas stutzeri	0.1	1.3	-0.4	8.1	-0.3	Pseudomonas stutzeri	0.8	Pseudomonas stutzeri	0.04666666666666668	0.06870229007633587
5	11	29	Bacteria	265	0.1	-0.4	0.2	-0.4	Paracoccus yeei	0.1	1.5	0.0	5.9	-0.2	Paracoccus contaminans	0.1	Paracoccus contaminans	0.01333333333333334	0.05004240882103478
