
RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1
Bacteria	1485	Clostridium novyi	0.2	0.0
Bacteria	-200001300	uncultured Streptococcaceae bacterium	0.2	0.0
Bacteria	182623	uncultured Smithella sp.	0.1	0.0
Bacteria	1370	Marinococcus sp. HL10	0.1	0.0
Bacteria	1763	Mycobacterium gordonae	0.1	0.0
Bacteria	1847	Pseudonocardia sp. IFP 2050	0.0	0.0
Bacteria	2147	uncultured Acholeplasma sp.	0.0	0.0
Bacteria	2093	Mycoplasma capricolum	0.0	0.0
Bacteria	2063	Kitasatospora kifunensis	0.0	0.0
Bacteria	1873	Micromonospora sp. UMM539	0.0	0.0
Bacteria	262	Francisella tularensis	0.0	0.0
Bacteria	1227	Nitrosococcus halophilus	0.0	0.0
Bacteria	862	Syntrophomonas wolfei	0.0	0.0
Bacteria	33926	Periwinkle virescence phytoplasma	0.0	0.0
Bacteria	234	Brucella sp. 141012304	0.0	0.0
Bacteria	68	Lysobacter bugurensis	0.0	0.0
Bacteria	-200001162	Nostocaceae cyanobacterium CENA369	0.0	0.0
Bacteria	29330	Alicyclobacillus acidiphilus	0.0	0.0
Bacteria	45667	Halobacillus litoralis	0.0	0.0

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1	99.0	16162.5	9375.1	99.0
Viruses	325455	Gammapapillomavirus 1	0.0	0.0	100.0	0.0	0.0	0.0



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Viruses	-200687329	Torque teno virus	41.1	28.5
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0
Bacteria	1279	Staphylococcus warneri	8.2	1.4
Viruses	687331	Torque teno virus 16	3.9	1.7
Viruses	687332	TTV-like mini virus	0.4	0.8

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Viruses	-200687329	Torque teno virus	41.1	28.5
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0
Bacteria	1279	Staphylococcus warneri	8.2	1.4
Viruses	687331	Torque teno virus 16	3.9	1.7
Bacteria	1817	Nocardia farcinica	1.1	0.0
Bacteria	1716	Corynebacterium callunae	0.5	0.0
