
RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus mitis	10.5	0.5
Bacteria	150022	Finegoldia magna	2.0	0.7
Bacteria	482	Neisseria cinerea	1.9	0.1
Bacteria	1883	Streptomyces pristinaespiralis	1.4	0.4
Bacteria	1716	Corynebacterium vitaeruminis	1.3	0.2
Viruses	11007	Saccharomyces cerevisiae virus L-BC (La)	0.3	0.1
Bacteria	1678	Bifidobacterium bifidum	0.2	0.3
Bacteria	270	Thermus thermophilus	0.2	0.1
Bacteria	1253	Pediococcus damnosus	0.1	0.1
Bacteria	1508657	Ruminiclostridium thermocellum	0.1	0.6
Bacteria	231454	Dyella sp. LLH-Slr-21	0.1	0.1
Bacteria	780	Rickettsia felis	0.1	0.1
Bacteria	1637	Listeria monocytogenes	0.1	2.0

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus mitis	10.5	0.5
Bacteria	150022	Finegoldia magna	2.0	0.7
Bacteria	482	Neisseria cinerea	1.9	0.1
Bacteria	1883	Streptomyces pristinaespiralis	1.4	0.4
Bacteria	1716	Corynebacterium vitaeruminis	1.3	0.2
Viruses	11007	Saccharomyces cerevisiae virus L-BC (La)	0.3	0.1
Bacteria	1678	Bifidobacterium bifidum	0.2	0.3
Bacteria	270	Thermus thermophilus	0.2	0.1
Bacteria	1253	Pediococcus damnosus	0.1	0.1
Bacteria	1508657	Ruminiclostridium thermocellum	0.1	0.6
Bacteria	231454	Dyella sp. LLH-Slr-21	0.1	0.1
Bacteria	780	Rickettsia felis	0.1	0.1
Bacteria	1637	Listeria monocytogenes	0.1	2.0

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus mitis	10.5	0.5	3.5	10.5	0.5	3.5
Bacteria	150022	Finegoldia magna	2.0	0.7	2.2	2.0	0.7	2.2
Bacteria	482	Neisseria cinerea	1.9	0.1	3.7	1.9	0.1	3.7
Bacteria	1883	Streptomyces pristinaespiralis	1.4	0.4	5.2	1.4	0.4	5.2
Bacteria	1716	Corynebacterium vitaeruminis	1.3	0.2	2.6	1.3	0.2	2.6
Viruses	11007	Saccharomyces cerevisiae virus L-BC (La)	0.3	0.1	3.2	0.3	0.1	3.2
Bacteria	1678	Bifidobacterium bifidum	0.2	0.3	2.0	0.2	0.3	2.0
Bacteria	270	Thermus thermophilus	0.2	0.1	2.1	0.2	0.1	2.1
Bacteria	1253	Pediococcus damnosus	0.1	0.1	1.1	0.1	0.1	1.1
Bacteria	1508657	Ruminiclostridium thermocellum	0.1	0.6	1.5	0.1	0.6	1.5
Bacteria	231454	Dyella sp. LLH-Slr-21	0.1	0.1	1.4	0.1	0.1	1.4
Bacteria	780	Rickettsia felis	0.1	0.1	1.2	0.1	0.1	1.2
Bacteria	1637	Listeria monocytogenes	0.1	2.0	1.2	0.1	2.0	1.2



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus mitis	11.3	0.6
Bacteria	724	Haemophilus parainfluenzae	9.9	0.6
Bacteria	1578	Lactobacillus crispatus	3.9	5.7
Bacteria	1279	Staphylococcus hominis	3.4	0.1
Bacteria	32207	Rothia aeria	3.4	0.1
Bacteria	150022	Finegoldia magna	3.3	0.9
Viruses	40121	Primate erythroparvovirus 1	2.0	1.5
Bacteria	398041	Flavisolibacter tropicus	1.5	0.1
Bacteria	32067	Leptotrichia sp. oral taxon 847	1.4	0.1
Bacteria	162289	Peptoniphilus sp. ING2-D1G	1.1	0.2
Bacteria	816	Bacteroides fragilis	0.9	6.4
Bacteria	745	Pasteurella multocida	0.6	0.1
Bacteria	64001	Nevskia ramosa	0.5	0.1
Bacteria	2094023	Glaesserella parasuis	0.4	0.7
Bacteria	1434011	Komagataeibacter xylinus	0.3	1.3
Bacteria	32008	Burkholderia pseudomallei	0.3	0.9
Bacteria	1678	Bifidobacterium animalis	0.3	0.8
Viruses	-200687329	Torque teno virus	0.2	0.1
Bacteria	243627	Hydrocarboniphaga effusa	0.2	0.1
Bacteria	434	Acetobacter aceti	0.2	0.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus mitis	11.3	0.6
Bacteria	724	Haemophilus parainfluenzae	9.9	0.6
Bacteria	1578	Lactobacillus crispatus	3.9	5.7
Bacteria	1279	Staphylococcus hominis	3.4	0.1
Bacteria	32207	Rothia aeria	3.4	0.1
Bacteria	150022	Finegoldia magna	3.3	0.9
Viruses	40121	Primate erythroparvovirus 1	2.0	1.5
Bacteria	398041	Flavisolibacter tropicus	1.5	0.1
Bacteria	32067	Leptotrichia sp. oral taxon 847	1.4	0.1
Bacteria	162289	Peptoniphilus sp. ING2-D1G	1.1	0.2
Bacteria	816	Bacteroides fragilis	0.9	6.4
Bacteria	745	Pasteurella multocida	0.6	0.1
Bacteria	64001	Nevskia ramosa	0.5	0.1
Bacteria	2094023	Glaesserella parasuis	0.4	0.7
Bacteria	1434011	Komagataeibacter xylinus	0.3	1.3
Bacteria	32008	Burkholderia pseudomallei	0.3	0.9
Bacteria	1678	Bifidobacterium animalis	0.3	0.8
Viruses	-200687329	Torque teno virus	0.2	0.1
Bacteria	243627	Hydrocarboniphaga effusa	0.2	0.1
Bacteria	434	Acetobacter aceti	0.2	0.1

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus mitis	11.3	0.6	3.8	11.3	0.6	3.8
Bacteria	724	Haemophilus parainfluenzae	9.9	0.6	3.1	9.9	0.6	3.1
Bacteria	1578	Lactobacillus crispatus	3.9	5.7	1.2	3.9	5.7	1.2
Bacteria	1279	Staphylococcus hominis	3.4	0.1	1.8	3.4	0.1	1.8
Bacteria	32207	Rothia aeria	3.4	0.1	1.2	3.4	0.1	1.2
Bacteria	150022	Finegoldia magna	3.3	0.9	4.6	3.3	0.9	4.6
Viruses	40121	Primate erythroparvovirus 1	2.0	1.5	100.0	2.0	1.5	100.0
Bacteria	398041	Flavisolibacter tropicus	1.5	0.1	2.6	1.5	0.1	2.6
Bacteria	32067	Leptotrichia sp. oral taxon 847	1.4	0.1	8.8	1.4	0.1	8.8
Bacteria	162289	Peptoniphilus sp. ING2-D1G	1.1	0.2	1.6	1.1	0.2	1.6
Bacteria	816	Bacteroides fragilis	0.9	6.4	3.7	0.9	6.4	3.7
Bacteria	745	Pasteurella multocida	0.6	0.1	1.1	0.6	0.1	1.1
Bacteria	64001	Nevskia ramosa	0.5	0.1	1.9	0.5	0.1	1.9
Bacteria	2094023	Glaesserella parasuis	0.4	0.7	2.7	0.4	0.7	2.7
Bacteria	1678	Bifidobacterium animalis	0.3	0.8	1.2	0.3	0.8	1.2
Bacteria	32008	Burkholderia pseudomallei	0.3	0.9	3.2	0.3	0.9	3.2
Bacteria	1434011	Komagataeibacter xylinus	0.3	1.3	10.6	0.3	1.3	10.6
Bacteria	243627	Hydrocarboniphaga effusa	0.2	0.1	100.0	0.2	0.1	100.0
Bacteria	434	Acetobacter aceti	0.2	0.1	8.6	0.2	0.1	8.6
Bacteria	1380	Atopobium parvulum	0.2	0.1	4.1	0.2	0.1	4.1



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1	99.0	16162.5	9375.1	99.0



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Viruses	-200687329	Torque teno virus	41.1	28.5
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0
Bacteria	1279	Staphylococcus warneri	8.2	1.4
Viruses	687331	Torque teno virus 16	3.9	1.7
Bacteria	68	Lysobacter antibioticus	0.8	0.1
Bacteria	122277	Pectobacterium carotovorum	0.5	0.4
Viruses	687332	TTV-like mini virus	0.4	0.8
Bacteria	1678	Bifidobacterium bifidum	0.2	0.2
Bacteria	375288	Parabacteroides merdae	0.1	0.3
Bacteria	158481	Hahella chejuensis	0.1	0.1
Bacteria	445	Legionella pneumophila	0.1	0.2

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Viruses	-200687329	Torque teno virus	41.1	28.5
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0
Bacteria	1279	Staphylococcus warneri	8.2	1.4
Viruses	687331	Torque teno virus 16	3.9	1.7
Bacteria	68	Lysobacter antibioticus	0.8	0.1
Bacteria	122277	Pectobacterium carotovorum	0.5	0.4
Viruses	687332	TTV-like mini virus	0.4	0.8
Bacteria	1678	Bifidobacterium bifidum	0.2	0.2
